ID1;Diam;Err;RA_d;DEC_d
HD3712                 ; 5.40000e+00; 6.00000e-01;010.12684;+56.53733
HD6860                 ; 1.32000e+01; 1.50000e+00;017.43302;+35.62056
HD12533                ; 6.30000e+00; 5.00000e-01;030.97480;+42.32972
HD20902                ; 2.90000e+00; 4.00000e-01;051.08071;+49.86118
HD197345               ; 2.70000e+00; 3.00000e-01;310.35798;+45.28034
HD12929                ; 7.60000e+00; 9.00000e-01;031.79336;+23.46242
HD62509                ; 7.80000e+00; 5.00000e-01;116.32896;+28.02620
HD131873               ; 8.90000e+00; 1.00000e+00;222.67636;+74.15550
HD164058               ; 8.70000e+00; 7.00000e-01;269.15154;+51.48890
HD180711               ; 3.80000e+00; 3.00000e-01;288.13876;+67.66154
HD6860                 ; 1.44000e+01; 5.00000e-01;017.43302;+35.62056
HD29139                ; 2.07000e+01; 4.00000e-01;068.98016;+16.50930
HD44478                ; 1.46000e+01; 7.00000e-01;095.74011;+22.51358
HD124897               ; 2.16000e+01; 1.20000e+00;213.91530;+19.18241
HD164058               ; 1.02000e+01; 1.40000e+00;269.15154;+51.48890
HD124897               ; 2.09500e+01; 2.00000e-01;213.91530;+19.18241
HD6860                 ; 1.42500e+01; 1.80000e-01;017.43302;+35.62056
HD19058                ; 1.55300e+01; 1.60000e-01;046.29414;+38.84028
HD29139                ; 2.02100e+01; 2.90000e-01;068.98016;+16.50930
HD44478                ; 1.39700e+01; 1.50000e-01;095.74011;+22.51358
HD62509                ; 7.90000e+00; 3.10000e-01;116.32896;+28.02620
HD164058               ; 1.01300e+01; 2.30000e-01;269.15154;+51.48890
HD217906               ; 1.67500e+01; 2.30000e-01;345.94357;+28.08279
HD20902                ; 5.30000e+00; 5.00000e-01;051.08071;+49.86118
HD61421                ; 6.44000e+00; 2.50000e-01;114.82550;+05.22499
HD95689                ; 7.60000e+00; 4.00000e-01;165.93196;+61.75103
HD3546                 ; 3.70000e+00; 4.00000e-01;009.63894;+29.31175
HD3712                 ; 5.40000e+00; 4.00000e-01;010.12684;+56.53733
HD4502                 ; 4.40000e+00; 5.00000e-01;011.83469;+24.26718
HD6860                 ; 1.99000e+01; 2.00000e-01;017.43302;+35.62056
HD9927                 ; 4.90000e+00; 4.00000e-01;024.49815;+48.62821
HD12929                ; 8.70000e+00; 5.00000e-01;031.79336;+23.46242
HD19787                ; 5.20000e+00; 4.00000e-01;047.90735;+19.72668
HD70272                ; 5.90000e+00; 3.00000e-01;125.70879;+43.18813
HD156283               ; 6.01000e+00; 4.00000e-01;258.76181;+36.80916
HD158899               ; 4.60000e+00; 4.00000e-01;262.68462;+26.11064
HD164058               ; 1.02100e+01; 2.00000e-01;269.15154;+51.48890
HD183439               ; 5.40000e+00; 4.00000e-01;292.17637;+24.66490
HD185958               ; 4.40000e+00; 4.00000e-01;295.26225;+17.47604
HD189319               ; 7.40000e+00; 2.00000e-01;299.68929;+19.49215
HD215665               ; 4.80000e+00; 4.00000e-01;341.63282;+23.56565
HD217906               ; 1.84000e+01; 6.00000e-01;345.94357;+28.08279
HD3627                 ; 4.12000e+00; 3.80000e-02;009.83198;+30.86102
HD3712                 ; 5.64000e+00; 5.30000e-02;010.12684;+56.53733
HD6860                 ; 1.43500e+01; 1.28000e-01;017.43302;+35.62056
HD12929                ; 6.85000e+00; 9.00000e-01;031.79336;+23.46242
HD18884                ; 1.32300e+01; 1.58000e-01;045.56989;+04.08974
HD29139                ; 1.22100e+01; 1.96000e-01;068.98016;+16.50930
HD61421                ; 5.51000e+00; 5.30000e-02;114.82550;+05.22499
HD62509                ; 9.26000e+00; 7.50000e-02;116.32896;+28.02620
HD217906               ; 1.79800e+01; 6.00000e-02;345.94357;+28.08279
HD156014               ; 3.30000e+01; 8.00000e-01;258.66189;+14.39037
HD14386                ; 4.33000e+01; 1.40000e+00;034.83663;-02.97764
HD110914               ; 1.47800e+01; 4.30000e-01;191.28261;+45.44025
HD223075               ; 1.04000e+01; 7.40000e-01;356.59797;+03.48681
HD78712                ; 1.72000e+01; 4.00000e-01;137.66166;+30.96314
HD126327               ; 1.87000e+01; 9.00000e-01;216.04843;+25.70372
HD217906               ; 1.64000e+01; 1.10000e+00;345.94357;+28.08279
HD213306               ; 1.60000e+00; 1.20000e-01;337.29274;+58.41519
HD432                  ; 2.12000e+00; 5.00000e-02;002.29452;+59.14978
HD3546                 ; 1.77000e+00; 8.00000e-02;009.63894;+29.31175
HD3712                 ; 5.60000e+00; 5.00000e-02;010.12684;+56.53733
HD5395                 ; 1.63000e+00; 1.00000e-01;014.16627;+59.18106
HD6186                 ; 1.74000e+00; 9.00000e-02;015.73587;+07.89013
HD7087                 ; 1.69000e+00; 8.00000e-02;017.86341;+21.03465
HD9270                 ; 2.64000e+00; 1.00000e-01;022.87088;+15.34582
HD9408                 ; 1.64000e+00; 9.00000e-02;023.48283;+59.23205
HD9927                 ; 3.76000e+00; 6.00000e-02;024.49815;+48.62821
HD10380                ; 2.81000e+00; 3.00000e-02;025.35789;+05.48761
HD12929                ; 6.88000e+00; 3.00000e-02;031.79336;+23.46242
HD8890                 ; 3.28000e+00; 2.00000e-02;037.95456;+89.26411
HD17361                ; 1.88000e+00; 1.00000e-01;041.97726;+29.24711
HD19787                ; 1.87000e+00; 1.20000e-01;047.90735;+19.72668
HD20902                ; 3.10000e+00; 1.00000e-02;051.08071;+49.86118
HD25604                ; 1.69000e+00; 8.00000e-02;061.17381;+22.08192
HD36673                ; 1.77000e+00; 9.00000e-02;083.18257;-17.82229
HD48329                ; 4.73000e+00; 2.00000e-02;100.98303;+25.13113
HD62044                ; 2.31000e+00; 5.00000e-02;115.82803;+28.88351
HD69267                ; 5.03000e+00; 3.00000e-02;124.12884;+09.18554
HD86663                ; 4.62000e+00; 5.00000e-02;150.05336;+08.04422
HD87837                ; 3.33000e+00; 4.00000e-02;151.97613;+09.99751
HD94264                ; 2.54000e+00; 3.00000e-02;163.32794;+34.21487
HD99998                ; 3.21000e+00; 2.00000e-02;172.57872;-03.00349
HR4518                 ; 3.23000e+00; 1.00000e-02;176.51256;+47.77941
HD113226               ; 3.17000e+00; 2.00000e-02;195.54416;+10.95915
HD120477               ; 4.72000e+00; 4.00000e-02;207.36934;+15.79791
HD135722               ; 2.74000e+00; 2.00000e-02;228.87568;+33.31483
HD150997               ; 2.42000e+00; 7.00000e-02;250.72402;+38.92225
HD156283               ; 5.20000e+00; 2.00000e-02;258.76181;+36.80916
HD176411               ; 1.99000e+00; 1.10000e-01;284.90567;+15.06830
HD180809               ; 2.23000e+00; 8.00000e-02;289.09206;+38.13373
HD181276               ; 2.07000e+00; 8.00000e-02;289.27570;+53.36846
HD186791               ; 7.08000e+00; 3.00000e-02;296.56492;+10.61326
HD187929               ; 1.73000e+00; 4.00000e-02;298.11821;+01.00566
HD188512               ; 2.18000e+00; 9.00000e-02;298.82830;+06.40676
HD194093               ; 3.02000e+00; 7.00000e-02;305.55709;+40.25668
HD198149               ; 2.65000e+00; 4.00000e-02;311.32240;+61.83878
HD200905               ; 5.56000e+00; 3.00000e-02;316.23276;+43.92785
HD205435               ; 1.82000e+00; 9.00000e-02;323.49522;+45.59184
HD209750               ; 3.08000e+00; 3.00000e-02;331.44598;-00.31985
HD212496               ; 1.92000e+00; 1.00000e-02;335.89010;+52.22905
HD213306               ; 1.52000e+00; 2.00000e-02;337.29274;+58.41519
HD214868               ; 2.63000e+00; 5.00000e-02;340.12858;+44.27631
HD215665               ; 2.26000e+00; 1.00000e-01;341.63282;+23.56565
HD216131               ; 2.50000e+00; 8.00000e-02;342.50080;+24.60158
HD221115               ; 1.61000e+00; 1.60000e-01;352.28873;+12.76052
HD222107               ; 2.66000e+00; 7.00000e-02;354.39101;+46.45815
HD222404               ; 3.24000e+00; 3.00000e-02;354.83709;+77.63236
HR9045                 ; 2.47000e+00; 5.00000e-02;358.59597;+57.49938
HD1326                 ; 1.01400e+00; 5.00000e-02;004.59535;+44.02295
HD16160                ; 9.41000e-01; 7.00000e-02;039.02043;+06.88679
HD88230                ; 1.17500e+00; 4.00000e-02;152.84225;+49.45424
HD95735                ; 1.46400e+00; 3.00000e-02;165.83414;+35.96988
GJ699                  ; 1.02600e+00; 4.00000e-02;269.45208;+04.69336
HD128620               ; 8.51100e+00; 1.60000e-02;219.90206;-60.83399
HD48915                ; 6.03900e+00; 1.60000e-02;101.28716;-16.71612
HD3627                 ; 4.13600e+00; 4.10000e-02;009.83198;+30.86102
HD3712                 ; 5.60800e+00; 5.60000e-02;010.12684;+56.53733
HD6860                 ; 1.37490e+01; 1.37000e-01;017.43302;+35.62056
HD12533                ; 7.81400e+00; 7.80000e-02;030.97480;+42.32972
HD12929                ; 6.82700e+00; 6.80000e-02;031.79336;+23.46242
HD13520                ; 2.90700e+00; 4.80000e-02;033.30551;+44.23165
HD17506                ; 5.38100e+00; 5.50000e-02;042.67421;+55.89550
HD17709                ; 4.05600e+00; 4.10000e-02;042.87850;+35.05974
HD18884                ; 1.32380e+01; 2.56000e-01;045.56989;+04.08974
HD19058                ; 1.65550e+01; 1.66000e-01;046.29414;+38.84028
HD20902                ; 3.18800e+00; 3.50000e-02;051.08071;+49.86118
HD25025                ; 9.33200e+00; 1.73000e-01;059.50736;-13.50852
HD27697                ; 2.33800e+00; 3.30000e-02;065.73375;+17.54252
HD28305                ; 2.67100e+00; 3.20000e-02;067.15416;+19.18043
HD29139                ; 2.10990e+01; 2.11000e-01;068.98016;+16.50930
HD31398                ; 7.50000e+00; 7.50000e-02;074.24842;+33.16610
HD31767                ; 2.78100e+00; 5.60000e-02;074.63709;+01.71402
HD31964                ; 2.09600e+00; 8.60000e-02;075.49220;+43.82330
HD40239                ; 9.55800e+00; 9.60000e-02;089.98374;+45.93674
HD42995                ; 1.17890e+01; 1.18000e-01;093.71940;+22.50679
HD44478                ; 1.51180e+01; 1.51000e-01;095.74011;+22.51358
HD48329                ; 4.70300e+00; 4.70000e-02;100.98303;+25.13113
HD48915                ; 5.99300e+00; 1.08000e-01;101.28716;-16.71612
HD61421                ; 5.44600e+00; 5.40000e-02;114.82550;+05.22499
HD62509                ; 7.98000e+00; 8.00000e-02;116.32896;+28.02620
HD69267                ; 5.23800e+00; 6.90000e-02;124.12884;+09.18554
HD76827                ; 5.64000e+00; 1.45000e-01;135.63623;+67.62962
HD80493                ; 7.53800e+00; 7.50000e-02;140.26375;+34.39256
HD81797                ; 9.72700e+00; 9.70000e-02;141.89684;-08.65860
HD84441                ; 2.57500e+00; 7.80000e-02;146.46281;+23.77426
HD89758                ; 8.53800e+00; 8.50000e-02;155.58225;+41.49952
HD95689                ; 6.73900e+00; 9.90000e-02;165.93196;+61.75103
HD96833                ; 4.12000e+00; 4.10000e-02;167.41587;+44.49849
HD98262                ; 4.75900e+00; 4.80000e-02;169.61974;+33.09431
HD100029               ; 6.43000e+00; 6.90000e-02;172.85092;+69.33107
HD102212               ; 6.11600e+00; 1.15000e-01;176.46483;+06.52937
HD112300               ; 1.07090e+01; 1.07000e-01;193.90087;+03.39747
HD113226               ; 3.28300e+00; 3.30000e-02;195.54416;+10.95915
HD121370               ; 2.26900e+00; 2.50000e-02;208.67116;+18.39772
HD124897               ; 2.13730e+01; 2.47000e-01;213.91530;+19.18241
HD131873               ; 1.03010e+01; 1.03000e-01;222.67636;+74.15550
HD132813               ; 1.05880e+01; 1.70000e-01;224.39586;+65.93246
HD133208               ; 2.47700e+00; 6.50000e-02;225.48651;+40.39057
HD135722               ; 2.76400e+00; 3.00000e-02;228.87568;+33.31483
HD140573               ; 4.84600e+00; 4.80000e-02;236.06698;+06.42563
HD146051               ; 1.04710e+01; 1.17000e-01;243.58641;-03.69432
HD148387               ; 3.72200e+00; 7.10000e-02;245.99786;+61.51421
HD148783               ; 1.90860e+01; 1.91000e-01;247.16062;+41.88168
CCDM J16294-2626 A     ; 3.97590e+01; 3.99000e-01;247.35192;-26.43200
HD148856               ; 3.46200e+00; 3.50000e-02;247.55500;+21.48961
HD150680               ; 2.36700e+00; 5.10000e-02;250.32150;+31.60272
HD150997               ; 2.62400e+00; 3.40000e-02;250.72402;+38.92225
HD156014               ; 3.60260e+01; 4.39000e-01;258.66189;+14.39037
HD156283               ; 5.27500e+00; 6.70000e-02;258.76181;+36.80916
HD159181               ; 3.22500e+00; 5.30000e-02;262.60817;+52.30139
HD161797               ; 1.95300e+00; 3.90000e-02;266.61469;+27.72068
HD163770               ; 3.17000e+00; 3.20000e-02;269.06325;+37.25054
HD164058               ; 9.86000e+00; 1.28000e-01;269.15154;+51.48890
HD172167               ; 3.22500e+00; 3.20000e-02;279.23473;+38.78369
HD175588               ; 1.15300e+01; 1.56000e-01;283.62619;+36.89862
HD175865               ; 1.80160e+01; 2.24000e-01;283.83376;+43.94609
HD180711               ; 3.25400e+00; 5.30000e-02;288.13876;+67.66154
HD183439               ; 4.45800e+00; 4.50000e-02;292.17637;+24.66490
HD183912               ; 4.83400e+00; 4.80000e-02;292.68036;+27.95968
HD186791               ; 7.27100e+00; 7.30000e-02;296.56492;+10.61326
HR7536                 ; 9.15100e+00; 1.19000e-01;296.84694;+18.53431
HD187642               ; 3.46200e+00; 3.50000e-02;297.69583;+08.86832
HD189319               ; 6.22500e+00; 6.20000e-02;299.68929;+19.49215
HD192577               ; 4.36200e+00; 4.40000e-02;303.40794;+46.74133
HD192909               ; 5.42300e+00; 5.40000e-02;303.86801;+47.71423
HD194093               ; 3.01700e+00; 3.00000e-02;305.55709;+40.25668
HD197345               ; 2.42000e+00; 6.00000e-02;310.35798;+45.28034
HD197989               ; 4.61200e+00; 4.60000e-02;311.55284;+33.97026
HD200905               ; 5.78700e+00; 5.80000e-02;316.23276;+43.92785
HD202109               ; 2.82100e+00; 2.80000e-02;318.23411;+30.22692
HD204724               ; 4.52100e+00; 4.70000e-02;322.48706;+23.63884
HD206936               ; 2.05840e+01; 4.80000e-01;325.87692;+58.78004
HD206778               ; 7.45900e+00; 2.51000e-01;326.04648;+09.87501
HD209750               ; 3.23700e+00; 5.70000e-02;331.44598;-00.31985
HD210745               ; 5.23400e+00; 5.20000e-02;332.71365;+58.20126
HD215665               ; 2.38700e+00; 4.80000e-02;341.63282;+23.56565
HD216131               ; 2.49600e+00; 4.00000e-02;342.50080;+24.60158
HD216386               ; 8.18600e+00; 1.05000e-01;343.15366;-07.57961
HD217906               ; 1.79820e+01; 1.80000e-01;345.94357;+28.08279
HD218356               ; 2.33800e+00; 5.10000e-02;346.77808;+25.46826
HD61421                ; 5.44800e+00; 4.70000e-02;114.82550;+05.22499
HD131977               ; 1.23000e+00; 3.00000e-02;224.36667;-21.41548
HD209100               ; 1.89000e+00; 2.00000e-02;330.84023;-56.78598
HIP19849               ; 1.65000e+00; 6.00000e-02;063.81800;-07.65287
HD10700                ; 2.07800e+00; 3.10000e-02;026.01701;-15.93748
HD22049                ; 2.14800e+00; 2.90000e-02;053.23269;-09.45826
HD102647               ; 1.44900e+00; 2.70000e-02;177.26491;+14.57206
HD216956               ; 2.22800e+00; 2.30000e-02;344.41269;-29.62224
HD23249                ; 2.38600e+00; 1.90000e-02;055.81209;-09.76339
HD100407               ; 2.39400e+00; 2.90000e-02;173.25048;-31.85762
HD121370               ; 2.20000e+00; 3.10000e-02;208.67116;+18.39772
HD128621               ; 6.00000e+00; 2.10000e-02;219.89610;-60.83753
HD201091               ; 1.77500e+00; 1.30000e-02;316.72475;+38.74942
HD201092               ; 1.58100e+00; 2.20000e-02;316.73027;+38.74204
HD3651                 ; 7.90000e-01; 2.60000e-02;009.84086;+21.25048
HD9826                 ; 1.11400e+00; 9.00000e-03;024.19934;+41.40546
HD10697                ; 4.85000e-01; 4.60000e-02;026.23260;+20.08315
HD11964                ; 6.11000e-01; 7.80000e-02;029.29003;-10.24243
HD13189                ; 8.36000e-01; 2.70000e-02;032.41738;+32.31643
HD19994                ; 7.88000e-01; 2.60000e-02;048.19349;-01.19610
HD20367                ; 4.08000e-01; 1.07000e-01;049.41686;+31.12704
HD23596                ; 3.81000e-01; 4.30000e-02;057.00156;+40.53064
HD38529                ; 5.73000e-01; 4.80000e-02;086.64547;+01.16820
HD50554                ; 3.44000e-01; 9.80000e-02;103.67844;+24.24556
HD59686                ; 1.10600e+00; 1.10000e-02;112.95168;+17.08605
HD75732                ; 8.54000e-01; 2.40000e-02;133.14921;+28.33082
HD104985               ; 1.03200e+00; 2.20000e-02;181.31299;+76.90573
HD117176               ; 1.00900e+00; 2.30000e-02;202.10754;+13.77879
HD120136               ; 7.86000e-01; 1.50000e-02;206.81560;+17.45690
HD143761               ; 6.86000e-01; 4.30000e-02;240.26109;+33.30351
HD145675               ; 3.71000e-01; 4.30000e-02;242.60131;+43.81764
HD177830               ; 4.67000e-01; 5.70000e-02;286.33656;+25.92066
HD186427               ; 4.26000e-01; 5.50000e-02;295.46655;+50.51752
HD189733               ; 3.77000e-01; 2.40000e-02;300.18214;+22.71085
HD190228               ; 4.53000e-01; 4.50000e-02;300.75322;+28.30686
HD190360               ; 6.98000e-01; 1.90000e-02;300.90585;+29.89680
HD196885               ; 4.94000e-01; 4.60000e-02;309.96615;+11.24964
HD217014               ; 7.48000e-01; 2.60000e-02;344.36658;+20.76883
HD6582                 ; 9.73000e-01; 9.00000e-03;017.06831;+54.92034
HD10780                ; 7.63000e-01; 2.10000e-02;026.93681;+63.85250
HD185144               ; 1.25400e+00; 1.10000e-02;293.08996;+69.66118
HD16141                ; 4.90000e-01; 4.80000e-02;038.83304;-03.56060
HD17092                ; 6.01000e-01; 3.90000e-02;041.59216;+49.65308
HD45410                ; 9.70000e-01; 3.40000e-02;097.69628;+58.16263
HD154345               ; 5.02000e-01; 2.60000e-02;255.65168;+47.08188
HD185269               ; 4.80000e-01; 3.20000e-02;294.29892;+28.49986
HD188310               ; 1.72600e+00; 8.00000e-03;298.56201;+08.46145
HD199665               ; 1.11100e+00; 2.70000e-02;314.60806;+10.83928
HD210702               ; 8.75000e-01; 1.70000e-02;332.96388;+16.04055
HD217107               ; 7.04000e-01; 1.30000e-02;344.56475;-02.39539
HD221345               ; 1.33600e+00; 8.00000e-03;352.82255;+39.23620
HD222404               ; 3.30200e+00; 2.20000e-02;354.83709;+77.63236
HD4817                 ; 1.03000e+00; 2.50000e-02;012.81826;+61.80549
HD9366                 ; 1.02600e+00; 1.06000e-01;023.35977;+54.94487
HD9900                 ; 1.02500e+00; 1.07000e-01;024.53153;+57.97763
HD11092                ; 1.02800e+00; 1.90000e-02;027.82052;+64.85495
HD12399                ; 1.02500e+00; 5.50000e-02;030.95468;+64.23749
HD13658                ; 1.02900e+00; 7.30000e-02;033.80540;+58.14231
HD13686                ; 1.02800e+00; 6.30000e-02;033.98080;+63.23630
HD14404                ; 1.03000e+00; 2.30000e-02;035.42671;+57.86282
HD17958                ; 1.02600e+00; 3.20000e-02;044.10271;+64.33244
HD18391                ; 1.02300e+00; 6.20000e-02;044.95301;+57.66324
HD20902                ; 1.01700e+00; 2.90000e-02;051.08071;+49.86118
HD21465                ; 1.02800e+00; 1.27000e-01;052.55447;+55.37505
HD30178                ; 1.03000e+00; 3.60000e-02;071.89829;+45.99967
HD31220                ; 1.02900e+00; 3.20000e-02;074.01402;+43.49345
HD31910                ; 1.02000e+00; 5.90000e-02;075.85454;+60.44225
HD34255                ; 1.02900e+00; 4.00000e-02;080.09421;+62.65371
HD35601                ; 1.02900e+00; 2.90000e-02;081.79257;+29.92105
HIP 35915              ; 1.03000e+00; 6.30000e-02;111.05832;+08.89772
HD37387                ; 1.02500e+00; 1.84000e-01;084.81178;+23.32337
HD38247                ; 1.02100e+00; 4.29000e-01;086.29801;+18.70436
HD44033                ; 1.02900e+00; 2.60000e-02;095.01760;+14.65113
HD52005                ; 1.03000e+00; 1.13000e-01;105.06593;+16.07900
HD183589               ; 1.02900e+00; 1.30000e-02;292.54390;+02.90407
HD186021               ; 1.02600e+00; 1.90000e-02;295.31104;+22.45277
HD187238               ; 1.02800e+00; 1.10000e-02;297.04933;+22.76287
HD193469               ; 1.02900e+00; 1.20000e-02;304.73974;+39.00418
HD194093               ; 1.01800e+00; 8.00000e-03;305.55709;+40.25668
